Front,Back,Left,Right,Command
18.7,55.51,30.58,19.3,left
18.67,73.03,28.82,17.95,left
18.63,82.37,20.16,18.05,left
19.09,84.37,17.99,17.15,back
19.24,83.56,17.44,16.56,back
20.26,55.17,16.69,16.73,back
20.91,421.8,16.44,16.68,back
30.72,96.17,16.01,17.24,back
32.01,83.16,15.98,16.98,back
53.67,327.98,16.1,17.41,back
38.3,69.11,16.2,17.34,back
37.04,527.43,16.17,18.12,back
24.17,220.68,16.75,18.55,back
24.68,452.1,17.15,19.45,back
24.8,87.18,16.97,19.46,back
25.11,436.68,17.39,20.4,right
25.11,233.09,17.66,20.62,right
25.52,723.23,18.62,21.27,right
25.26,314.59,19.62,21.74,right
24.34,78.97,19.91,21.76,right
24.38,79.07,20.3,21.81,front
24.22,79.2,21.83,22.25,front
23.8,78.59,22.27,22.32,front
23.73,64.75,23.05,22.66,front
23.38,78.45,34.29,23.04,front
22.87,67.08,35.26,23.27,front
22.51,64.07,34.53,22.37,front
22.25,67.1,34.09,22.75,front
22.17,69.73,33.51,22.54,front
21.9,68.22,33.54,22.05,front
21.37,69.87,32.83,21.39,front
21.34,70.18,33.22,21.96,front
20.4,71.89,33.61,22.34,front
20.01,70.47,32.37,20.65,front
20.06,78.32,30.8,20.88,front
18.89,71.94,31.18,59.67,left
18.33,72.59,31.91,59.59,left
17.83,73.64,32.74,122.26,left
17.46,73.36,31.18,73.02,left
17.32,74.29,31.67,59.04,left
17.24,74.14,29.46,16.85,left
17.26,86.56,32.73,17.05,left
17.24,74.27,29.34,16.52,left
17.26,84.08,28.08,16.37,left
18.33,305.61,9.98,8.84,back
19.31,456.45,24.17,15.76,left
28.75,78.68,4.96,11.92,back
23.15,179.78,4.03,13.45,back
24.6,158.64,4.17,13.6,back
24.38,1021.97,3.98,16.49,back
26.59,105.42,4.47,17.03,back
27.34,57.36,4.83,16.76,back
26.18,912.53,6.49,18.24,back
27.46,184.2,6.19,17.48,back
27.74,419.25,6.49,19.24,back
29.26,27.59,6.99,18.62,back
28.05,59.31,6.73,18.8,back
28.8,494.34,6.97,20.45,right
28.39,82.64,7.68,19.11,back
